ArticleNumber;Category;Gender;Description
1246410;Trouwringen;Dames;Palladium trouwring  diamant Lathyrus H223P
1361447;Horloges;Heren;Regal horloge met stalen kast en band
1275294;Ringen;Dames;Zilveren ring pave met zirkonia
1170302;Trouwringen;Dames;Palladium trouwring  diamant Anthyllis H210P
1430459;Armbanden;Kinderen;Zilveren kinderarmband harten
1393923;Horloges;Dames;Joy de la Luz horloge
1235538;Horloges;Heren;Stalen Lorus heren horloge RT383GX9
1339985;Horloges;Heren;Pulsar heren horloge PJ6067X1
1207066;Oorbellen;Kinderen;Zilveren kinderoorbellen dolfijn
1275289;Trouwringen;Heren;14 K witgouden trouwring Duizendschoon Heren H46
1234550;Oorbellen;Dames;Zilveren oorbellen bal Swarovski Crystal
1286382;Kettingen;Dames;Eve gold plated ketting met venetiaanse schakel
1269624;Trouwringen;Heren;14K rose gouden trouwring Balance heren H233R
1316108;Armbanden;Dames;Stalen armband bol/bar black diamond kristal
1178289;Kettingen;Dames;Goudkleurige byoux ketting met ronde medaillon
1278616;Kettingen;Dames;Zilveren ketting&hanger munt paard
1193496;Kettingen;Dames;14 Karaat geelgouden ketting hanger open vierkant
1427621;Armbanden;Dames;Goldplated plaatarmband marina schakel 4mm
1313710;Trouwringen;Heren;Palladium trouwring Madelief Heren H18P
1409145;Kettingen;Dames;Goudkleurige byoux ketting met hanger hart
1380968;Armbanden;Dames;Zilveren armband dubbele gourmetschakel
1353002;Kettingen;Dames;Goldplated choker dubbel cirkel&bar
1325865;Trouwringen;Dames;14 Karaat witgouden trouwring Bluebell Dames H87
1315230;Diversen;Dames;Goudkleurig byoux enkelbandje multi disc
1396714;Trouwringen;Dames;9 K rose  trouwring Wisteria Dames H68R
1294310;Hangers;Dames;9 Karaat hanger ster
1166548;Piercings;Dames;Stalen neuspiercing wrap around veer
1207329;Kettingen;Dames;Goldplated ketting&hanger met witte zirkonia
1228240;Trouwringen;Dames;14 Karaat rose gouden trouwring Clover Dames H04R
1207559;Oorbellen;Kinderen;9 Karaat kinderoorhangers met dolfijn
1360548;Armbanden;Dames;Guess stalen armband bangle roseplated Forever
1373036;Cadeau Sets;Dames;Zilveren set roseplated met Swarovski Crystals
1237456;Trouwringen;Dames;Palladium trouwring Delphine Dames H60P
1223633;Trouwringen;Dames;Palladium trouwring  met diamant Mimosa
1244531;Horloges;Kinderen;Little Miss Lovely horloge met blauwe glitter band
1410999;Oorbellen;Dames;9 Karaat oorknoppen knoop
1291532;Trouwringen;Heren;Palladium trouwring Klaproos Heren H90P
1262208;Ringen;Dames;Stalen ring roseplated 2rijen met zirkonia
1251936;Trouwringen;Dames;14K rosegouden trouwring Dames 4mm Jasmijn
1182132;Ringen;Dames;Zilveren ring Grieks
1170270;Kettingen;Dames;Goudkleurige byoux ketting met hanger
1202894;Ringen;Dames;Stalen ring mat met zirkonia
1161998;Horloges;Heren;Invicta Pro Diver horloge 8928
1390482;Horloges;Dames;Esprit horloge ES102722021U
1308135;Oorbellen;Dames;9 Karaat oorknoppen bloem met parel
1315138;Ringen;Dames;14 Karaat geelgouden rijring met diamant
1284598;Horloges;Dames;Clueless horloge met bicolor mesh band
1312228;Kettingen;Dames;Zilveren ketting&hanger bloem/druppel zirkonia
1192703;Diversen;Dames;Zilverkleurig haar accessoire met hartjes
1186129;Kettingen;Dames;zilveren ketting met 2hangers/schelp
1421876;Oorbellen;Dames;Geelgouden solitair oorbellen diamant (0,04ct.)
1384788;Oorbellen;Dames;9 Karaat oorringen bewerkt 15mm
1346944;Armbanden;Dames;14 Karaat geelgouden armband met diamant 0,06ct
1184741;Diversen;Dames;Goudkleurig byoux enkelbandje multi gedraaid
1318786;Vriendschapsringen;Heren;Stalen vriendschapsring Marrakech heren
1222059;Armbanden;Dames;14 Karaat geelgouden ketting rijstekorrel
1295557;Oorbellen;Dames;Zilverkleurige byoux oorbellen met hanger oog
1239199;Vriendschapsringen;Unisex;Stalen vriendschapsring Rhodos dames&heren
1207101;Kettingen;Kinderen;Zilveren kinderketting met hanger hart BF
1372437;Trouwringen;Heren;14k bicolor gouden trouwring Heren Cyclaam
1182093;Ringen;Kinderen;Stalen kinderring 2in1 blue zircon/aqua kristal
1344273;Vriendschapsringen;Dames;Zilveren vriendschapsring Zaragoza dames zirkonia
1164075;Trouwringen;Dames;9 Karaat trouwring diamant Senna Dames H35
1198321;Oorbellen;Dames;Zilverkleuige byoux oorringen parels
1419704;Kettingen;Dames;Byoux ketting sterrenbeeld boogschutter
1186177;Ringen;Dames;14 Karaat geelgouden ring saffier met diamant
1368708;Horloges;Heren;Pulsar stalen heren horloge PS9583X1
1313817;Oorbellen;Dames;Geelgouden oorbellen hart met 4 diamanten
1369939;Ringen;Heren;14 Karaat geelgouden ring zeskant
1152460;Oorbellen;Dames;Zilveren oorbellen met witte zirkonia
1358782;Oorbellen;Kinderen;Geelgouden oorbellen bloem met kristal
1392412;Oorbellen;Dames;14 karaat geelgouden oorbellen cirkel met zirkonia
1403377;Armbanden;Dames;Stalen armband mesh riem
1242295;Vriendschapsringen;Heren;Stalen vriendschapsring Marbella heren
1398312;Oorbellen;Dames;14 Karaat gouden oorbellen entourage met diamant
1224710;Kettingen;Dames;9 Karaat tricolor ketting met hanger ringen
1206705;Armbanden;Dames;14 Karaat geelgouden armband levensboom
1269381;Oorbellen;Dames;14 karaat geelgouden oorbellen takje met zirkonia
1381774;Vriendschapsringen;Dames;Zilveren vriendschapsring Pescara dames
1173981;Horloges;Heren;Pulsar horloge PH9079X1
1226342;Horloges;Heren;Pulsar horloge PG8236X1
1356914;Oorbellen;Dames;Zilverkleurige byoux oorbellen groen velvet
1439179;Armbanden;Kinderen;Stalen kinderplaatarmband leer wit met kristal
1413659;Armbanden;Dames;9 Karaat armband gourmet
1380025;Vriendschapsringen;Dames;Zilveren gerhodineerde relatiering diamant Lombok
1183837;Kettingen;Dames;Zilveren ketting&hanger schildpad
1172518;Armbanden;Dames;Stalen plaatarmband leer licht roze met kristal
1337780;Armbanden;Dames;14Karaat geelgouden armband bolletjes
1227202;Diversen;Dames;Bruine zonnebril met goudkleurige accenten
1257481;Trouwringen;Heren;14K rose witgouden trouwring Heren Sering
1409238;Kettingen;Dames;Stalen ketting mesh blackplated
1339347;Kettingen;Heren;Zilveren herenketting schakel
1302222;Armbanden;Kinderen;Zilveren kinder armband plaat hart zirkonia
1249741;Trouwringen;Dames;9 Karaat rose  trouwring Prunus Dames H139R
1227086;Piercings;Dames;Stalen helixpiercing goldplated  met kristal
